4	4	7	7	0	2
7	11	10	13	0	1
3	12	10	15	0	2
4	8	12	11	1	0
7	12	10	21	0	1
6	7	10	13	1	2
4	5	9	13	2	1
3	12	12	14	1	2
17	17	22	25	1	1
8	13	12	21	0	0
3	5	13	14	2	0
9	15	13	21	0	1
8	15	15	23	1	1
3	11	11	15	2	0
3	10	11	15	0	2
3	11	6	19	0	0
2	7	5	13	2	0
2	15	6	24	0	2
5	5	15	12	2	0
4	14	13	21	1	1
13	19	21	23	1	2
10	23	18	29	0	3
2	9	6	15	0	2
4	15	8	24	0	0
4	4	6	12	1	0
1	4	9	6	0	0
2	6	5	13	0	2
2	6	8	12	1	3
3	8	7	16	0	2
13	19	16	27	2	0
4	8	11	11	0	1
4	8	12	15	0	3
4	5	6	7	1	1
4	4	11	14	1	2
6	15	12	21	0	1
8	8	15	10	0	0
6	9	14	12	0	1
2	13	11	16	1	0
9	11	16	16	4	2
2	7	6	15	1	0
4	9	7	12	0	1
5	13	10	22	0	0
1	6	6	11	1	2
2	8	9	14	1	1
2	9	10	11	0	0
7	8	17	10	1	1
4	10	14	16	1	2
3	13	8	16	0	2
7	10	16	19	0	2
3	5	8	8	0	1
2	6	8	12	1	3
3	13	12	19	0	1
11	16	18	24	0	0
10	16	13	24	0	0
4	10	7	20	2	1
5	8	12	15	1	0
7	7	15	16	1	0
2	11	9	20	1	0
4	42	13	50	0	1
3	10	5	15	1	0
4	6	12	15	1	1
1	14	5	22	0	1
2	6	11	16	0	4
3	13	11	18	0	0
7	9	13	14	0	0
3	10	11	19	0	0
4	9	7	14	0	1
2	2	5	12	0	2
1	10	11	17	1	2
12	13	18	16	1	0
2	10	8	18	0	3
1	7	4	16	0	1
2	13	8	20	0	0
5	6	11	11	0	1
8	15	16	21	0	3
6	9	9	13	0	1
4	14	8	19	1	0
2	7	9	10	1	1
3	10	11	15	0	0
2	6	4	13	0	2
16	17	19	20	0	0
4	15	11	18	1	2
2	12	8	22	0	1
5	8	12	11	0	1
4	16	14	20	1	1
7	13	9	16	0	1
2	7	6	12	0	1
2	16	5	25	0	2
4	5	11	10	2	1
4	7	12	17	0	2
19	21	28	29	3	0
10	9	18	18	0	0
3	11	6	16	0	0
5	25	12	34	0	1
2	6	8	9	0	1
3	12	10	15	1	0
9	8	19	13	3	1
2	9	9	14	0	0
3	14	8	22	0	0
2	8	11	10	2	1
5	14	11	17	0	0
6	7	9	10	1	0
3	9	5	12	0	1
6	15	9	19	0	2
3	10	10	14	0	1
13	19	23	25	2	2
2	13	10	19	0	0
8	16	13	19	0	1
3	8	11	11	0	0
2	5	12	12	0	2
4	6	13	9	0	0
4	5	7	7	0	1
7	8	15	16	1	1
4	8	7	11	2	2
3	8	9	15	0	1
5	7	7	12	0	0
3	8	5	15	0	0
2	9	4	18	2	3
4	8	6	16	0	0
6	11	15	20	0	3
4	8	11	11	0	0
4	10	13	16	0	3
5	13	14	22	0	0
5	8	10	16	1	0
5	7	13	9	0	0
4	9	11	18	0	1
4	6	7	12	0	0
6	10	15	12	4	0
3	6	13	15	2	1
1	7	3	17	0	0
8	13	17	21	0	1
1	19	4	25	2	1
3	13	11	18	0	0
2	6	10	15	2	1
7	5	13	14	1	1
6	7	15	12	1	1
5	16	11	25	0	2
4	8	13	11	0	0
11	12	20	19	1	1
6	5	13	13	1	2
6	8	8	11	0	0
6	7	10	16	0	2
5	6	10	9	1	0
3	10	6	15	0	1
5	6	9	14	0	2
3	6	10	12	0	2
6	6	13	9	0	0
8	16	15	21	1	0
6	11	11	20	5	1
23	30	31	34	0	0
4	12	14	20	1	1
3	4	12	7	0	0
4	15	7	23	1	1
4	14	8	18	0	0
2	3	7	13	0	1
10	16	13	26	0	2
8	13	14	16	0	0
3	6	6	14	1	0
4	10	8	13	1	1
3	8	9	14	2	1
4	11	7	14	0	1
5	8	9	15	0	0
8	8	17	13	0	1
2	15	8	18	0	2
5	10	13	18	0	0
3	13	10	16	0	2
2	17	11	22	1	0
2	7	7	15	2	2
6	11	11	16	1	2
4	18	7	23	1	0
2	9	6	19	0	1
20	26	29	32	1	0
3	10	11	16	0	3
14	24	17	30	1	1
2	12	8	21	0	0
5	9	8	13	0	1
13	14	17	20	1	1
3	9	7	15	0	1
8	20	10	27	0	1
3	14	10	18	0	0
8	14	14	23	0	1
1	5	9	13	2	0
5	5	8	7	1	0
2	7	7	10	1	3
6	8	16	18	0	1
3	5	10	10	0	0
21	25	28	33	3	0
4	11	11	20	0	0
3	12	9	22	0	1
3	16	7	18	0	2
6	3	11	12	0	1
2	8	6	15	0	1
5	15	14	22	0	2
22	25	32	27	1	1
16	26	24	34	0	0
11	19	14	22	0	2
4	13	6	22	0	1
6	7	12	13	0	0
4	9	13	18	0	2
3	6	6	11	0	1
1	4	5	14	0	1
3	8	8	13	1	2
1	6	4	9	0	1
4	23	6	25	0	0
1	6	5	9	0	0
6	12	13	16	0	0
4	9	12	12	3	0
6	20	8	28	0	2
14	13	17	20	0	0
5	11	8	20	0	3
3	7	6	16	0	0
3	4	8	7	1	2
5	7	13	14	2	0
5	10	10	16	3	0
3	13	8	18	0	0
4	8	7	11	0	0
5	7	12	15	1	3
17	30	27	35	0	0
2	11	9	15	2	0
2	12	6	20	0	1
2	16	10	20	0	0
10	19	13	26	0	0
2	12	8	21	0	0
5	12	10	19	0	0
5	9	8	19	0	0
5	13	10	15	0	0
11	26	21	30	0	3
7	8	17	10	2	0
3	10	6	19	0	1
16	28	25	31	0	1
5	10	7	13	0	0
2	5	10	13	0	2
5	8	8	10	0	0
12	18	16	25	0	0
3	8	11	15	2	0
10	10	16	14	1	1
9	7	13	13	1	0
3	14	10	18	1	4
7	9	14	11	2	2
8	19	17	23	0	0
7	8	13	16	1	1
1	10	4	19	0	2
2	14	6	21	1	1
14	18	24	20	1	0
2	5	11	7	0	0
4	6	12	11	1	1
2	8	10	15	0	1
9	7	18	16	0	1
3	19	13	22	1	0
5	10	7	20	0	2
3	7	11	14	2	0
4	7	14	9	1	0
1	5	8	12	1	1
5	14	14	19	2	1
6	7	9	16	0	2
3	7	7	10	0	3
8	12	13	16	0	1
4	11	12	19	2	1
12	19	20	24	1	1
5	6	12	16	0	0
4	10	14	16	1	1
3	22	8	27	0	4
8	16	16	23	0	1
4	9	11	18	0	0
2	8	6	11	0	1
3	12	6	18	0	0
5	6	15	14	5	0
10	12	19	17	0	1
9	7	11	15	0	1
11	23	14	27	0	1
5	13	12	16	1	3
6	10	13	12	0	0
4	7	7	12	0	2
6	11	15	17	0	1
6	7	12	13	1	0
8	53	18	62	0	0
4	10	9	13	0	2
5	10	12	18	0	0
1	13	5	21	2	0
12	17	15	27	0	0
4	9	9	13	0	1
3	11	8	17	0	0
7	5	11	10	2	1
8	19	10	26	0	1
6	11	9	15	1	2
4	7	14	14	0	0
11	23	21	28	1	1
1	5	5	13	0	0
8	14	13	20	0	1
1	11	7	19	1	1
4	7	12	16	0	0
4	6	13	9	1	0
8	16	12	20	1	1
2	9	7	15	0	2
3	5	6	12	1	0
5	7	14	15	0	1
6	10	12	16	1	0
4	10	11	12	0	0
4	7	11	17	0	1
5	12	10	15	0	2
1	5	8	8	0	2
4	9	14	16	1	2
3	9	11	15	0	0
6	4	10	6	0	0
4	7	12	10	1	0
4	15	9	19	0	1
4	8	9	16	1	1
10	12	18	18	0	2
7	8	13	16	0	1
7	12	11	19	0	1
3	8	6	11	3	1
3	6	12	11	0	2
8	16	14	24	1	1
2	3	7	6	0	1
4	3	6	9	2	5
5	2	12	6	3	1
3	9	12	13	0	1
3	10	8	15	0	0
2	12	8	19	0	2
18	33	21	36	0	0
3	17	13	24	0	2
3	8	10	15	0	1
4	9	11	14	1	1
2	10	11	18	2	0
6	10	16	16	0	1
3	6	13	10	0	1
4	6	7	8	0	0
3	18	11	24	1	1
7	8	13	12	0	0
13	21	15	24	0	0
3	3	10	13	0	0
4	9	7	12	1	0
3	9	11	13	1	0
5	14	13	16	0	0
4	5	12	13	0	0
2	10	8	16	0	1
25	30	30	39	0	1
7	13	16	17	0	0
3	8	8	17	0	1
3	8	6	10	0	1
4	8	9	11	0	0
6	13	10	23	0	1
2	10	11	14	1	0
3	11	9	18	0	3
3	7	6	16	0	0
13	24	17	33	1	0
2	9	9	15	1	0
2	10	11	19	0	1
5	8	12	18	0	0
9	8	12	13	0	2
3	13	7	17	0	0
2	17	5	20	0	2
3	12	11	20	0	3
8	15	17	20	0	1
4	8	11	10	2	0
8	11	14	19	2	1
2	16	10	23	0	0
7	5	14	7	1	1
7	12	12	18	2	2
3	6	9	13	3	3
1	8	7	13	0	1
7	6	12	12	1	1
3	17	10	23	1	1
15	18	18	23	0	1
3	8	7	16	0	2
6	9	9	12	0	1
4	10	6	13	1	1
5	12	10	18	0	0
3	6	10	16	0	2
7	16	17	22	0	2
11	14	14	20	2	0
8	15	14	22	0	0
20	29	27	36	0	0
1	14	8	18	1	0
16	22	25	25	2	0
7	10	11	12	0	2
4	7	10	15	1	0
4	6	7	12	0	0
4	9	11	13	0	1
4	10	11	14	2	0
5	7	14	15	5	2
4	11	14	16	0	0
2	19	9	23	2	0
2	11	9	15	1	2
7	7	10	17	1	2
3	9	11	15	1	0
5	10	15	17	0	2
5	8	12	17	0	2
7	6	17	9	1	0
10	15	13	21	1	1
9	16	18	25	3	4
1	4	11	8	1	0
8	13	14	23	1	1
4	7	10	16	0	1
6	9	9	18	0	0
4	12	6	19	1	2
10	14	17	23	0	2
12	25	16	28	0	2
9	7	17	15	0	1
5	8	12	12	0	0
6	8	12	17	0	2
2	13	12	19	0	3
6	9	10	15	1	1
2	6	9	8	0	1
8	16	13	23	0	2
5	6	9	13	1	3
4	8	10	12	0	0
10	10	12	18	0	5
2	6	5	11	0	0
2	5	6	11	0	3
4	7	6	14	0	0
6	6	8	9	2	1
4	7	8	14	0	0
6	9	11	15	0	0
10	13	17	18	0	1
9	6	12	16	0	1
2	18	7	25	0	0
1	7	7	11	0	0
6	5	11	11	1	0
7	11	11	19	1	1
15	50	21	56	1	4
2	4	10	14	2	0
5	14	14	20	1	0
3	7	10	11	1	2
3	9	10	14	0	2
7	6	14	10	1	2
5	8	10	17	0	0
4	7	11	14	0	1
2	8	9	18	0	0
3	8	11	14	1	3
3	12	6	20	0	0
7	12	9	17	0	2
8	21	18	29	1	1
5	16	11	25	0	2
2	7	8	10	1	0
6	14	10	24	0	0
6	4	12	11	0	1
1	10	3	16	0	2
15	20	20	26	1	0
2	4	6	11	1	1
2	6	9	9	2	1
14	29	17	34	0	3
10	19	18	26	1	0
5	12	9	15	0	2
2	10	9	13	1	0
6	12	15	18	0	2
1	5	10	11	0	0
6	15	15	22	1	1
5	4	12	8	0	1
4	9	10	17	1	1
11	13	20	18	1	2
1	10	4	14	0	1
5	9	11	14	0	0
3	14	6	19	1	0
4	3	13	9	0	0
4	13	10	21	0	0
15	19	21	23	0	1
4	4	9	10	1	0
8	11	16	17	2	3
3	8	5	16	0	1
3	8	12	14	1	1
8	14	13	19	0	1
6	16	16	24	0	2
3	19	11	21	0	0
6	15	14	22	0	0
1	8	8	16	1	0
3	5	6	14	1	1
2	13	11	18	0	0
4	11	12	14	0	0
3	9	10	15	0	0
5	12	12	16	0	2
2	14	8	18	1	1
2	5	11	12	0	0
2	16	6	21	0	0
2	5	4	13	1	3
1	9	11	13	1	0
4	8	9	11	0	0
3	6	9	16	1	0
1	24	10	29	1	4
6	11	11	16	1	1
12	14	18	23	0	1
5	11	13	21	0	1
6	7	15	13	1	0
3	8	9	15	1	2
8	10	10	20	0	1
6	12	11	20	0	1
1	5	5	15	0	1
5	9	15	13	0	0
4	11	8	16	0	0
3	17	8	21	0	2
9	9	15	12	0	1
13	17	17	24	3	2
3	11	11	13	1	1
5	5	7	13	2	0
3	8	9	14	0	1
7	10	12	13	0	1
3	20	7	30	0	2
4	7	10	10	0	0
8	16	17	21	0	1
10	19	14	25	0	1
10	14	18	23	0	1
4	4	7	13	0	2
3	7	11	11	0	1
4	12	6	19	0	2
2	6	4	10	1	1
6	11	11	18	2	0
4	5	7	12	0	0
9	11	13	16	0	1
8	12	13	15	1	0
3	10	10	17	0	2
6	10	10	16	0	1
7	9	15	18	1	0
10	14	12	19	0	0
5	16	10	23	1	1
1	4	10	7	0	0
3	14	8	22	0	3
3	8	6	10	0	0
8	21	11	27	0	4
22	29	29	32	0	1
10	16	17	23	0	1
