-10	-10	-10.46864
-10	-9	-10.450401
-10	-8	-10.426161
-10	-7	-10.39976
-10	-6	-10.39206
-10	-5	-10.37542
-10	-4	-10.36758
-10	-3	-10.365701
-10	-2	-10.33838
-10	-1	-10.312241
-10	0	-10.288201
-10	1	-10.26674
-10	2	-10.30666
-10	3	-10.49484
-10	4	-10.763201
-10	5	-11.07498
-10	6	-11.40244
-10	7	-11.733821
-10	8	-12.060401
-10	9	-12.38118
-10	10	-12.68062
-10	11	-12.99306
-10	12	-13.28098
-10	13	-13.56228
-10	14	-13.83832
-10	15	-14.111061
-10	16	-14.36262
-10	17	-14.6189
-10	18	-14.86414
-10	19	-15.10484
-10	20	-15.335901
-10	21	-15.562421
-10	22	-15.778261
-10	23	-15.994561
-10	24	-16.204261
-10	25	-16.40616
-10	26	-16.59226
-10	27	-16.77938
-10	28	-16.95332
-10	29	-17.12752
-10	30	-17.284941
-10	31	-17.44432
-10	32	-17.59176
-10	33	-17.74116
-10	34	-17.87112
-10	35	-18.008
-10	36	-18.13616
-10	37	-18.26362
-10	38	-18.390241
-10	39	-18.51436
-10	40	-18.6323
-9	-10	-10.45008
-9	-9	-10.427141
-9	-8	-10.400721
-9	-7	-10.3833
-9	-6	-10.37504
-9	-5	-10.367741
-9	-4	-10.35878
-9	-3	-10.34246
-9	-2	-10.31494
-9	-1	-10.29168
-9	0	-10.26472
-9	1	-10.24424
-9	2	-10.28792
-9	3	-10.47544
-9	4	-10.75206
-9	5	-11.05882
-9	6	-11.38456
-9	7	-11.71976
-9	8	-12.042721
-9	9	-12.358301
-9	10	-12.67628
-9	11	-12.9739
-9	12	-13.264441
-9	13	-13.55366
-9	14	-13.82494
-9	15	-14.0866
-9	16	-14.34102
-9	17	-14.598681
-9	18	-14.84174
-9	19	-15.072201
-9	20	-15.306841
-9	21	-15.53306
-9	22	-15.74906
-9	23	-15.962021
-9	24	-16.1709
-9	25	-16.370421
-9	26	-16.56264
-9	27	-16.74982
-9	28	-16.93064
-9	29	-17.1017
-9	30	-17.264401
-9	31	-17.422621
-9	32	-17.574161
-9	33	-17.71414
-9	34	-17.85122
-9	35	-17.98714
-9	36	-18.11366
-9	37	-18.23838
-9	38	-18.36436
-9	39	-18.48782
-9	40	-18.6093
-8	-10	-10.42968
-8	-9	-10.4017
-8	-8	-10.38436
-8	-7	-10.373461
-8	-6	-10.37104
-8	-5	-10.35894
-8	-4	-10.33952
-8	-3	-10.31974
-8	-2	-10.28576
-8	-1	-10.25998
-8	0	-10.2467
-8	1	-10.228001
-8	2	-10.267741
-8	3	-10.438961
-8	4	-10.71836
-8	5	-11.03376
-8	6	-11.36618
-8	7	-11.6944
-8	8	-12.021921
-8	9	-12.347001
-8	10	-12.654981
-8	11	-12.95774
-8	12	-13.25486
-8	13	-13.53558
-8	14	-13.80728
-8	15	-14.073641
-8	16	-14.33022
-8	17	-14.584881
-8	18	-14.82468
-8	19	-15.06128
-8	20	-15.2936
-8	21	-15.51258
-8	22	-15.730641
-8	23	-15.939581
-8	24	-16.14568
-8	25	-16.34104
-8	26	-16.5347
-8	27	-16.721801
-8	28	-16.89898
-8	29	-17.07548
-8	30	-17.23608
-8	31	-17.39094
-8	32	-17.55012
-8	33	-17.68356
-8	34	-17.82124
-8	35	-17.961161
-8	36	-18.08948
-8	37	-18.22258
-8	38	-18.343
-8	39	-18.46282
-8	40	-18.59002
-7	-10	-10.4051
-7	-9	-10.3868
-7	-8	-10.37452
-7	-7	-10.37088
-7	-6	-10.35546
-7	-5	-10.336341
-7	-4	-10.31814
-7	-3	-10.28024
-7	-2	-10.260421
-7	-1	-10.24638
-7	0	-10.23506
-7	1	-10.20722
-7	2	-10.249741
-7	3	-10.415321
-7	4	-10.68668
-7	5	-11.0023
-7	6	-11.33026
-7	7	-11.6631
-7	8	-11.98788
-7	9	-12.31698
-7	10	-12.631281
-7	11	-12.93882
-7	12	-13.228861
-7	13	-13.5184
-7	14	-13.800081
-7	15	-14.069601
-7	16	-14.33482
-7	17	-14.58028
-7	18	-14.828401
-7	19	-15.05256
-7	20	-15.281461
-7	21	-15.50716
-7	22	-15.71812
-7	23	-15.93346
-7	24	-16.13216
-7	25	-16.32764
-7	26	-16.51908
-7	27	-16.7007
-7	28	-16.8794
-7	29	-17.05374
-7	30	-17.22064
-7	31	-17.373901
-7	32	-17.52644
-7	33	-17.66818
-7	34	-17.80392
-7	35	-17.939941
-7	36	-18.07224
-7	37	-18.2028
-7	38	-18.32446
-7	39	-18.45026
-7	40	-18.5678
-6	-10	-10.39296
-6	-9	-10.389581
-6	-8	-10.377321
-6	-7	-10.36242
-6	-6	-10.345821
-6	-5	-10.315041
-6	-4	-10.285301
-6	-3	-10.26618
-6	-2	-10.25248
-6	-1	-10.238321
-6	0	-10.20664
-6	1	-10.1696
-6	2	-10.198
-6	3	-10.38518
-6	4	-10.65922
-6	5	-10.97456
-6	6	-11.28926
-6	7	-11.6225
-6	8	-11.95816
-6	9	-12.277921
-6	10	-12.60194
-6	11	-12.90662
-6	12	-13.19826
-6	13	-13.485281
-6	14	-13.7753
-6	15	-14.0398
-6	16	-14.31812
-6	17	-14.57004
-6	18	-14.81238
-6	19	-15.053601
-6	20	-15.276201
-6	21	-15.501621
-6	22	-15.72278
-6	23	-15.929561
-6	24	-16.12604
-6	25	-16.322461
-6	26	-16.51258
-6	27	-16.696001
-6	28	-16.866481
-6	29	-17.03982
-6	30	-17.2017
-6	31	-17.36016
-6	32	-17.512021
-6	33	-17.65352
-6	34	-17.78356
-6	35	-17.921021
