-6 37 -26.5985
-6 38 -26.9952
-6 39 -27.3426
-6 40 -27.7258
-5 -10 -9.76252
-5 -9 -9.74693
-5 -8 -9.73627
-5 -7 -9.69814
-5 -6 -9.69885
-5 -5 -9.66628
-5 -4 -9.62145
-5 -3 -9.57869
-5 -2 -9.57791
-5 -1 -9.54811
-5 0 -9.50993
-5 1 -9.47566
-5 2 -9.41159
-5 3 -9.51109
-5 4 -9.77325
-5 5 -10.2498
-5 6 -10.7889
-5 7 -11.3954
-5 8 -12.0256
-5 9 -12.6482
-5 10 -13.2954
-5 11 -13.9327
-5 12 -14.5423
-5 13 -15.1411
-5 14 -15.7611
-5 15 -16.3334
-5 16 -16.8961
-5 17 -17.4621
-5 18 -18.0094
-5 19 -18.5496
-5 20 -19.0442
-5 21 -19.5738
-5 22 -20.0705
-5 23 -20.5577
-5 24 -21.0354
-5 25 -21.5186
-5 26 -21.9618
-5 27 -22.4167
-5 28 -22.884
-5 29 -23.3041
-5 30 -23.7318
-5 31 -24.1719
-5 32 -24.5898
-5 33 -24.999
-5 34 -25.3798
-5 35 -25.7694
-5 36 -26.1718
-5 37 -26.5406
-5 38 -26.9492
-5 39 -27.3113
-5 40 -27.6678
-4 -10 -9.78036
-4 -9 -9.77586
-4 -8 -9.75427
-4 -7 -9.72651
-4 -6 -9.70994
-4 -5 -9.67524
-4 -4 -9.65228
-4 -3 -9.60965
-4 -2 -9.59841
-4 -1 -9.5518
-4 0 -9.51273
-4 1 -9.45261
-4 2 -9.42915
-4 3 -9.50815
-4 4 -9.80271
-4 5 -10.226
-4 6 -10.8181
-4 7 -11.4032
-4 8 -12.0278
-4 9 -12.6535
-4 10 -13.3228
-4 11 -13.9592
-4 12 -14.55
-4 13 -15.1135
-4 14 -15.7382
-4 15 -16.3322
-4 16 -16.8893
-4 17 -17.4796
-4 18 -18.0009
-4 19 -18.5586
-4 20 -19.0404
-4 21 -19.5685
-4 22 -20.0498
-4 23 -20.5684
-4 24 -21.0436
-4 25 -21.5114
-4 26 -21.9466
-4 27 -22.4196
-4 28 -22.8707
-4 29 -23.2882
-4 30 -23.7317
-4 31 -24.1441
-4 32 -24.5541
-4 33 -24.9653
-4 34 -25.3693
-4 35 -25.7429
-4 36 -26.1517
-4 37 -26.527
-4 38 -26.8802
-4 39 -27.2774
-4 40 -27.638
-3 -10 -9.82416
-3 -9 -9.79049
-3 -8 -9.78399
-3 -7 -9.7579
-3 -6 -9.711
-3 -5 -9.6783
-3 -4 -9.63356
-3 -3 -9.62872
-3 -2 -9.59694
-3 -1 -9.5514
-3 0 -9.49625
-3 1 -9.46537
-3 2 -9.4303
-3 3 -9.50158
-3 4 -9.78219
-3 5 -10.2455
-3 6 -10.7945
-3 7 -11.4045
-3 8 -12.0391
-3 9 -12.6732
-3 10 -13.3215
-3 11 -13.9399
-3 12 -14.5442
-3 13 -15.1777
-3 14 -15.7666
-3 15 -16.3381
-3 16 -16.9321
-3 17 -17.4833
-3 18 -18.0351
-3 19 -18.5719
-3 20 -19.0834
-3 21 -19.5961
-3 22 -20.1077
-3 23 -20.5715
-3 24 -21.0751
-3 25 -21.5492
-3 26 -21.9842
-3 27 -22.4523
-3 28 -22.9056
-3 29 -23.322
-3 30 -23.7428
